generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
55,86919.000000,13081.000000,35,160077.392546,334507444.451085,1431.722188,0.713053,1,6,1,0.019794,1850
56,77110.000000,22890.000000,27,146599.708717,394410309.673927,1724.844750,0.873456,2,5,1,0.015694,1777
57,86286.000000,13714.000000,36,154027.558417,558178095.209743,1542.518570,0.971805,2,5,1,0.041802,1860
58,70272.000000,29728.000000,20,125862.525379,454245503.191489,1733.417944,1.054891,2,5,1,0.021817,1700
59,77363.000000,22637.000000,25,137450.705406,712489627.627445,1268.828175,0.828725,2,5,1,0.015868,1750
60,71319.000000,28681.000000,25,133293.140930,351587210.795348,1838.029959,0.813305,2,5,2,0.021084,1750
61,76516.000000,23484.000000,26,154757.975075,463821316.740632,1595.583198,0.747453,2,5,1,0.020343,1760
62,79427.000000,20573.000000,30,150366.482304,457904418.970104,1636.225028,0.752276,2,5,1,0.022528,1800
63,65897.000000,34103.000000,17,120177.708157,1080596553.247883,1552.819855,0.950162,2,5,1,0.023797,1680
64,75669.000000,24331.000000,26,133420.640743,731504073.842051,1394.590157,0.886562,2,5,2,0.020565,1760
65,75310.000000,24690.000000,24,153118.127105,446530767.351855,1814.952894,0.842830,2,5,2,0.025914,1740
66,78593.000000,21407.000000,27,144282.650796,553393639.350506,1416.450558,0.871262,2,5,1,0.013828,1770
67,72986.000000,27014.000000,24,129284.647989,211892944.827111,1857.178834,1.055840,2,5,1,0.011423,1740
68,73757.000000,26243.000000,24,121245.800749,1093598425.237298,1258.641899,0.982186,2,5,1,0.028524,1740
69,80764.000000,19236.000000,31,123052.974513,424456124.119941,1275.571551,1.332604,2,5,1,0.023102,1812
70,80376.000000,19624.000000,30,156342.266524,747327546.352709,1524.435287,0.880161,2,5,1,0.016187,1800
71,80028.000000,19972.000000,31,151126.554823,412205013.069792,1616.601143,0.833586,2,5,1,0.017574,1810
72,70035.000000,29965.000000,21,125299.451046,335081298.836185,1720.354589,0.827799,2,5,1,0.013105,1710
73,97094.000000,2906.000000,46,175200.941714,506997870.113596,1331.859800,0.967871,2,5,0,-0.000000,1960
74,72321.000000,27679.000000,26,149178.239029,740749958.652172,1667.114281,0.671938,2,5,1,0.020625,1767
75,75405.000000,24595.000000,22,167165.460318,575779437.169278,2207.539941,0.876412,2,5,5,0.021201,1720
76,76619.000000,23381.000000,27,139558.166057,487621588.879871,1462.139678,0.920013,2,5,1,0.020629,1770
77,80696.000000,19304.000000,31,135983.977470,532942451.224172,1340.200534,0.938285,2,5,2,0.018456,1810
78,81051.000000,18949.000000,30,163998.980038,479020519.326914,1868.750728,0.841506,2,5,2,0.018186,1800
79,81966.000000,18034.000000,31,148902.799362,595122522.616815,1514.307151,0.920969,2,5,2,0.022660,1810
80,80587.000000,19413.000000,29,170585.519338,923480775.310630,1831.121655,0.768147,2,5,6,0.027316,1790
81,77311.000000,22689.000000,27,177178.030302,932191959.585922,2120.153100,0.963386,2,5,1,0.016444,1770
82,75141.000000,24859.000000,27,162683.143377,408390931.155289,1621.932053,0.789449,2,5,1,0.020416,1770
83,72862.000000,27138.000000,22,122907.508417,510898864.197079,1266.932280,1.026770,2,5,1,0.017872,1720
